"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.00046165,1,0,0,0,0.025
6.5377e-05,0.014067,0,0.00047042,1,0.001,0.001,0,0.025
0.00013075,0.028135,0,0.00047919,1,0.002,0.002,0,0.025
0.00027177,0.041549,0,0.00049371,1,0.003,0.003,0,0.025
0.00041337,0.054959,0,0.00050828,1,0.004,0.004,0,0.025
0.00063208,0.067771,0,0.00051765,1,0.005,0.005,0,0.025
0.0008547,0.080554,0,0.00052677,1,0.006,0.006,0,0.025
0.0011245,0.092755,0,0.0005315,1,0.007,0.007,0,0.025
0.0014009,0.10488,0,0.00053563,1,0.008,0.008,0,0.025
0.0017023,0.11646,0,0.00053591,1,0.009,0.009,0,0.025
0.0020111,0.12788,0,0.00053504,1,0.01,0.01,0,0.025
0.0023288,0.13884,0,0.0005306,1,0.011,0.011,0,0.025
0.0026519,0.14953,0,0.00052403,1,0.012,0.012,0,0.025
0.0029738,0.15987,0,0.00051456,1,0.013,0.013,0,0.025
0.0032945,0.1698,0,0.00050151,1,0.014,0.014,0,0.025
0.003611,0.17955,0,0.00048676,1,0.015,0.015,0,0.025
0.0039145,0.18871,0,0.00046651,1,0.016,0.016,0,0.025
0.004218,0.19787,0,0.00044626,1,0.017,0.017,0,0.025
0.0044925,0.20628,0,0.00041824,1,0.018,0.018,0,0.025
0.0047667,0.21468,0,0.00039013,1,0.019,0.019,0,0.025
0.0050138,0.22255,0,0.00035608,1,0.02,0.02,0,0.025
0.0052494,0.2302,0,0.00031951,1,0.021,0.021,0,0.025
0.0054681,0.23758,0,0.00027955,1,0.022,0.022,0,0.025
0.005659,0.24451,0,0.00023399,1,0.023,0.023,0,0.025
0.0058492,0.25144,0,0.0001883,1,0.024,0.024,0,0.025
0.0059922,0.25772,0,0.00013332,1,0.025,0.025,0,0.025
0.0061352,0.26399,0,7.8346e-05,1,0.026,0.026,0,0.025
0.0062486,0.2699,0,1.7355e-05,1,0.027,0.027,0,0.025
0.0063435,0.27557,0,-4.7418e-05,1,0.028,0.028,0,0.025
0.0064302,0.28114,0,-0.00011395,1,0.029,0.029,0,0.025
0.0064789,0.28628,0,-0.00018884,1,0.03,0.03,0,0.025
0.0065275,0.29141,0,-0.00026372,1,0.031,0.031,0,0.025
0.0065468,0.29622,0,-0.00034582,1,0.032,0.032,0,0.025
0.0065531,0.30088,0,-0.00043109,1,0.033,0.033,0,0.025
0.0065531,0.30547,0,-0.00051821,1,0.034,0.034,0,0.025
0.0065224,0.30973,0,-0.00061413,1,0.035,0.035,0,0.025
0.0064917,0.31399,0,-0.00071005,1,0.036,0.036,0,0.025
0.006442,0.31805,0,-0.00081261,1,0.037,0.037,0,0.025
0.0063802,0.32197,0,-0.00091941,1,0.038,0.038,0,0.025
0.0063183,0.32588,0,-0.0010263,1,0.039,0.039,0,0.025
0.0062315,0.32952,0,-0.0011442,1,0.04,0.04,0,0.025
0.0061448,0.33315,0,-0.0012621,1,0.041,0.041,0,0.025
0.0060512,0.33669,0,-0.0013841,1,0.042,0.042,0,0.025
0.0059455,0.34008,0,-0.0015133,1,0.043,0.043,0,0.025
0.0058397,0.34347,0,-0.0016426,1,0.044,0.044,0,0.025
0.0057247,0.34672,0,-0.0017796,1,0.045,0.045,0,0.025
0.0056052,0.3499,0,-0.0019204,1,0.046,0.046,0,0.025
0.0054857,0.35308,0,-0.0020612,1,0.047,0.047,0,0.025
0.0053575,0.35608,0,-0.002213,1,0.048,0.048,0,0.025
0.0052287,0.35908,0,-0.0023656,1,0.049,0.049,0,0.025
0.005099,0.36204,0,-0.00252,1,0.05,0.05,0,0.025
0.0049646,0.36487,0,-0.0026846,1,0.051,0.051,0,0.025
0.0048301,0.36769,0,-0.0028491,1,0.052,0.052,0,0.025
0.0046947,0.37046,0,-0.0030177,1,0.053,0.053,0,0.025
0.0045574,0.37311,0,-0.0031943,1,0.054,0.054,0,0.025
0.00442,0.37577,0,-0.003371,1,0.055,0.055,0,0.025
0.0042822,0.37835,0,-0.0035533,1,0.056,0.056,0,0.025
0.0041438,0.38084,0,-0.0037422,1,0.057,0.057,0,0.025
0.0040055,0.38333,0,-0.0039311,1,0.058,0.058,0,0.025
0.0038673,0.38573,0,-0.0041266,1,0.059,0.059,0,0.025
0.0037293,0.38806,0,-0.0043278,1,0.06,0.06,0,0.025
0.0035912,0.39038,0,-0.0045289,1,0.061,0.061,0,0.025
0.0034538,0.3926,0,-0.0047371,1,0.062,0.062,0,0.025
0.0033168,0.39474,0,-0.0049505,1,0.063,0.063,0,0.025
0.0031799,0.39689,0,-0.0051639,1,0.064,0.064,0,0.025
0.0030437,0.39893,0,-0.0053841,1,0.065,0.065,0,0.025
0.0029081,0.40089,0,-0.0056096,1,0.066,0.066,0,0.025
0.0027726,0.40285,0,-0.0058351,1,0.067,0.067,0,0.025
0.0026378,0.40471,0,-0.0060665,1,0.068,0.068,0,0.025
0.0025039,0.40648,0,-0.0063039,1,0.069,0.069,0,0.025
0.0023699,0.40825,0,-0.0065413,1,0.07,0.07,0,0.025
0.0022365,0.40993,0,-0.0067831,1,0.071,0.071,0,0.025
0.002104,0.4115,0,-0.007032,1,0.072,0.072,0,0.025
0.0019715,0.41306,0,-0.0072809,1,0.073,0.073,0,0.025
0.0018394,0.41458,0,-0.0075323,1,0.074,0.074,0,0.025
0.0017083,0.41594,0,-0.0077924,1,0.075,0.075,0,0.025
0.0015772,0.41729,0,-0.0080525,1,0.076,0.076,0,0.025
0.0014461,0.41865,0,-0.0083126,1,0.077,0.077,0,0.025
0.0013162,0.41979,0,-0.0085833,1,0.078,0.078,0,0.025
0.0011863,0.42093,0,-0.0088539,1,0.079,0.079,0,0.025
0.0010565,0.42207,0,-0.0091246,1,0.08,0.08,0,0.025
0.00092731,0.42306,0,-0.0094026,1,0.081,0.081,0,0.025
0.00079843,0.42398,0,-0.0096832,1,0.082,0.082,0,0.025
0.00066955,0.42491,0,-0.0099639,1,0.083,0.083,0,0.025
0.000541,0.42574,0,-0.010248,1,0.084,0.084,0,0.025
0.00041292,0.42645,0,-0.010538,1,0.085,0.085,0,0.025
0.00028485,0.42716,0,-0.010828,1,0.086,0.086,0,0.025
0.00015679,0.42787,0,-0.011118,1,0.087,0.087,0,0.025
2.9348e-05,0.42836,0,-0.011417,1,0.088,0.088,0,0.025
-9.81e-05,0.42886,0,-0.011715,1,0.089,0.089,0,0.025
-0.00022555,0.42935,0,-0.012013,1,0.09,0.09,0,0.025
-0.00035271,0.42972,0,-0.012316,1,0.091,0.091,0,0.025
-0.0004797,0.43001,0,-0.012622,1,0.092,0.092,0,0.025
-0.00060668,0.43029,0,-0.012928,1,0.093,0.093,0,0.025
-0.00073363,0.43055,0,-0.013235,1,0.094,0.094,0,0.025
-0.00086029,0.43064,0,-0.013547,1,0.095,0.095,0,0.025
-0.00098695,0.43072,0,-0.01386,1,0.096,0.096,0,0.025
-0.0011136,0.4308,0,-0.014172,1,0.097,0.097,0,0.025
-0.0012402,0.43077,0,-0.014488,1,0.098,0.098,0,0.025
-0.0013666,0.43066,0,-0.014806,1,0.099,0.099,0,0.025
-0.0014931,0.43055,0,-0.015124,1,0.1,0.1,0,0.025
-0.0016195,0.43044,0,-0.015443,1,0.101,0.101,0,0.025
-0.0017459,0.43015,0,-0.015765,1,0.102,0.102,0,0.025
-0.0018722,0.42986,0,-0.016088,1,0.103,0.103,0,0.025
-0.0019986,0.42956,0,-0.016411,1,0.104,0.104,0,0.025
-0.0021249,0.42922,0,-0.016735,1,0.105,0.105,0,0.025
-0.0022512,0.42875,0,-0.017062,1,0.106,0.106,0,0.025
-0.0023775,0.42829,0,-0.017388,1,0.107,0.107,0,0.025
-0.0025038,0.42783,0,-0.017715,1,0.108,0.108,0,0.025
-0.0026301,0.42727,0,-0.018043,1,0.109,0.109,0,0.025
-0.0027564,0.42666,0,-0.018372,1,0.11,0.11,0,0.025
-0.0028827,0.42604,0,-0.018701,1,0.111,0.111,0,0.025
-0.003009,0.42542,0,-0.019031,1,0.112,0.112,0,0.025
-0.0031352,0.42469,0,-0.019361,1,0.113,0.113,0,0.025
-0.0032615,0.42393,0,-0.019692,1,0.114,0.114,0,0.025
-0.0033878,0.42318,0,-0.020024,1,0.115,0.115,0,0.025
-0.003514,0.42242,0,-0.020355,1,0.116,0.116,0,0.025
-0.0036403,0.42155,0,-0.020686,1,0.117,0.117,0,0.025
-0.0037666,0.42067,0,-0.021018,1,0.118,0.118,0,0.025
-0.0038929,0.41979,0,-0.02135,1,0.119,0.119,0,0.025
-0.0040192,0.4189,0,-0.021682,1,0.12,0.12,0,0.025
-0.0041456,0.41792,0,-0.022014,1,0.121,0.121,0,0.025
-0.0042719,0.41694,0,-0.022346,1,0.122,0.122,0,0.025
-0.0043983,0.41595,0,-0.022678,1,0.123,0.123,0,0.025
-0.0045247,0.41496,0,-0.02301,1,0.124,0.124,0,0.025
-0.004651,0.41389,0,-0.023342,1,0.125,0.125,0,0.025
-0.0047773,0.41282,0,-0.023673,1,0.126,0.126,0,0.025
-0.0049036,0.41175,0,-0.024004,1,0.127,0.127,0,0.025
-0.0050299,0.41068,0,-0.024336,1,0.128,0.128,0,0.025
-0.0051559,0.40953,0,-0.024666,1,0.129,0.129,0,0.025
-0.005282,0.40839,0,-0.024996,1,0.13,0.13,0,0.025
-0.0054081,0.40725,0,-0.025326,1,0.131,0.131,0,0.025
-0.0055341,0.40611,0,-0.025656,1,0.132,0.132,0,0.025
-0.0056599,0.40492,0,-0.025984,1,0.133,0.133,0,0.025
-0.0057856,0.40372,0,-0.026312,1,0.134,0.134,0,0.025
-0.0059114,0.40253,0,-0.02664,1,0.135,0.135,0,0.025
-0.0060371,0.40133,0,-0.026968,1,0.136,0.136,0,0.025
-0.0061625,0.40011,0,-0.027294,1,0.137,0.137,0,0.025
-0.0062878,0.39888,0,-0.02762,1,0.138,0.138,0,0.025
-0.0064132,0.39764,0,-0.027945,1,0.139,0.139,0,0.025
-0.0065385,0.39641,0,-0.028271,1,0.14,0.14,0,0.025
-0.0066635,0.39516,0,-0.028595,1,0.141,0.141,0,0.025
-0.0067882,0.3939,0,-0.028918,1,0.142,0.142,0,0.025
-0.0069129,0.39265,0,-0.029241,1,0.143,0.143,0,0.025
-0.0070376,0.39139,0,-0.029564,1,0.144,0.144,0,0.025
-0.0071622,0.39013,0,-0.029886,1,0.145,0.145,0,0.025
-0.0072861,0.38886,0,-0.030205,1,0.146,0.146,0,0.025
-0.00741,0.38758,0,-0.030525,1,0.147,0.147,0,0.025
-0.007534,0.38631,0,-0.030845,1,0.148,0.148,0,0.025
-0.0076579,0.38504,0,-0.031165,1,0.149,0.149,0,0.025
-0.007781,0.38377,0,-0.031481,1,0.15,0.15,0,0.025
-0.007904,0.3825,0,-0.031798,1,0.151,0.151,0,0.025
-0.008027,0.38122,0,-0.032114,1,0.152,0.152,0,0.025
-0.00815,0.37995,0,-0.03243,1,0.153,0.153,0,0.025
-0.0082725,0.37868,0,-0.032746,1,0.154,0.154,0,0.025
-0.0083943,0.37741,0,-0.033058,1,0.155,0.155,0,0.025
-0.0085161,0.37614,0,-0.033371,1,0.156,0.156,0,0.025
-0.008638,0.37487,0,-0.033684,1,0.157,0.157,0,0.025
-0.0087598,0.37361,0,-0.033997,1,0.158,0.158,0,0.025
-0.0088805,0.37235,0,-0.034306,1,0.159,0.159,0,0.025
-0.0090009,0.37109,0,-0.034616,1,0.16,0.16,0,0.025
-0.0091214,0.36984,0,-0.034925,1,0.161,0.161,0,0.025
-0.0092418,0.36858,0,-0.035234,1,0.162,0.162,0,0.025
-0.0093619,0.36733,0,-0.035542,1,0.163,0.163,0,0.025
-0.0094809,0.36609,0,-0.035848,1,0.164,0.164,0,0.025
-0.0095998,0.36486,0,-0.036153,1,0.165,0.165,0,0.025
-0.0097187,0.36362,0,-0.036459,1,0.166,0.166,0,0.025
-0.0098377,0.36238,0,-0.036764,1,0.167,0.167,0,0.025
-0.0099556,0.36115,0,-0.037067,1,0.168,0.168,0,0.025
-0.010073,0.35993,0,-0.037369,1,0.169,0.169,0,0.025
-0.01019,0.35871,0,-0.037671,1,0.17,0.17,0,0.025
-0.010307,0.35749,0,-0.037973,1,0.171,0.171,0,0.025
-0.010424,0.35628,0,-0.038274,1,0.172,0.172,0,0.025
-0.01054,0.35507,0,-0.038573,1,0.173,0.173,0,0.025
-0.010656,0.35388,0,-0.038871,1,0.174,0.174,0,0.025
-0.010771,0.35268,0,-0.039169,1,0.175,0.175,0,0.025
-0.010886,0.35148,0,-0.039467,1,0.176,0.176,0,0.025
-0.011002,0.35028,0,-0.039765,1,0.177,0.177,0,0.025
-0.011115,0.3491,0,-0.040059,1,0.178,0.178,0,0.025
-0.011228,0.34793,0,-0.040353,1,0.179,0.179,0,0.025
-0.011342,0.34675,0,-0.040647,1,0.18,0.18,0,0.025
-0.011455,0.34557,0,-0.040942,1,0.181,0.181,0,0.025
-0.011568,0.3444,0,-0.041236,1,0.182,0.182,0,0.025
-0.011679,0.34324,0,-0.041526,1,0.183,0.183,0,0.025
-0.011791,0.34208,0,-0.041816,1,0.184,0.184,0,0.025
-0.011902,0.34093,0,-0.042107,1,0.185,0.185,0,0.025
-0.012013,0.33977,0,-0.042397,1,0.186,0.186,0,0.025
-0.012124,0.33861,0,-0.042687,1,0.187,0.187,0,0.025
-0.012233,0.33747,0,-0.042974,1,0.188,0.188,0,0.025
-0.012342,0.33634,0,-0.043261,1,0.189,0.189,0,0.025
-0.012451,0.3352,0,-0.043547,1,0.19,0.19,0,0.025
-0.01256,0.33406,0,-0.043834,1,0.191,0.191,0,0.025
-0.012669,0.33292,0,-0.044121,1,0.192,0.192,0,0.025
-0.012776,0.3318,0,-0.044404,1,0.193,0.193,0,0.025
-0.012882,0.33067,0,-0.044686,1,0.194,0.194,0,0.025
-0.012989,0.32955,0,-0.044969,1,0.195,0.195,0,0.025
-0.013096,0.32843,0,-0.045252,1,0.196,0.196,0,0.025
-0.013202,0.3273,0,-0.045535,1,0.197,0.197,0,0.025
-0.013307,0.32619,0,-0.045815,1,0.198,0.198,0,0.025
-0.013412,0.32508,0,-0.046094,1,0.199,0.199,0,0.025
-0.013516,0.32397,0,-0.046373,1,0.2,0.2,0,0.025
-0.01362,0.32287,0,-0.046652,1,0.201,0.201,0,0.025
-0.013725,0.32176,0,-0.046931,1,0.202,0.202,0,0.025
-0.013828,0.32065,0,-0.047208,1,0.203,0.203,0,0.025
-0.01393,0.31956,0,-0.047483,1,0.204,0.204,0,0.025
-0.014032,0.31846,0,-0.047758,1,0.205,0.205,0,0.025
-0.014134,0.31736,0,-0.048033,1,0.206,0.206,0,0.025
-0.014236,0.31626,0,-0.048308,1,0.207,0.207,0,0.025
-0.014337,0.31517,0,-0.048582,1,0.208,0.208,0,0.025
-0.014437,0.31408,0,-0.048854,1,0.209,0.209,0,0.025
-0.014536,0.31299,0,-0.049125,1,0.21,0.21,0,0.025
-0.014636,0.3119,0,-0.049396,1,0.211,0.211,0,0.025
-0.014736,0.31081,0,-0.049667,1,0.212,0.212,0,0.025
-0.014835,0.30972,0,-0.049938,1,0.213,0.213,0,0.025
-0.014933,0.30864,0,-0.050206,1,0.214,0.214,0,0.025
-0.01503,0.30756,0,-0.050473,1,0.215,0.215,0,0.025
-0.015128,0.30648,0,-0.050741,1,0.216,0.216,0,0.025
-0.015225,0.3054,0,-0.051008,1,0.217,0.217,0,0.025
-0.015322,0.30432,0,-0.051275,1,0.218,0.218,0,0.025
-0.015419,0.30324,0,-0.051541,1,0.219,0.219,0,0.025
-0.015514,0.30216,0,-0.051804,1,0.22,0.22,0,0.025
-0.015609,0.30108,0,-0.052067,1,0.221,0.221,0,0.025
-0.015704,0.30001,0,-0.05233,1,0.222,0.222,0,0.025
-0.015799,0.29893,0,-0.052593,1,0.223,0.223,0,0.025
-0.015894,0.29786,0,-0.052856,1,0.224,0.224,0,0.025
-0.015987,0.29678,0,-0.053116,1,0.225,0.225,0,0.025
-0.01608,0.29571,0,-0.053374,1,0.226,0.226,0,0.025
-0.016173,0.29464,0,-0.053633,1,0.227,0.227,0,0.025
-0.016266,0.29357,0,-0.053892,1,0.228,0.228,0,0.025
-0.016358,0.29249,0,-0.054151,1,0.229,0.229,0,0.025
-0.016451,0.29142,0,-0.054409,1,0.23,0.23,0,0.025
-0.016542,0.29035,0,-0.054664,1,0.231,0.231,0,0.025
-0.016632,0.28929,0,-0.054918,1,0.232,0.232,0,0.025
-0.016723,0.28822,0,-0.055172,1,0.233,0.233,0,0.025
-0.016814,0.28715,0,-0.055427,1,0.234,0.234,0,0.025
-0.016904,0.28608,0,-0.055681,1,0.235,0.235,0,0.025
-0.016994,0.28501,0,-0.055934,1,0.236,0.236,0,0.025
-0.017083,0.28394,0,-0.056184,1,0.237,0.237,0,0.025
-0.017171,0.28288,0,-0.056434,1,0.238,0.238,0,0.025
-0.01726,0.28181,0,-0.056684,1,0.239,0.239,0,0.025
-0.017348,0.28075,0,-0.056934,1,0.24,0.24,0,0.025
