"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.019591,1,0,0.5,-0.5,0.025
-0.010948,3.8559e-05,0,0.019595,1,0.00099999,0.5,-0.499,0.025
-0.021896,7.712e-05,0,0.0196,1,0.002,0.5,-0.498,0.025
-0.032333,0.00015551,0,0.019608,1,0.003,0.5,-0.497,0.025
-0.042766,0.0002342,0,0.019615,1,0.004,0.5,-0.496,0.025
-0.052745,0.00034951,0,0.019618,1,0.005,0.5,-0.495,0.025
-0.062701,0.00046667,0,0.019622,1,0.006,0.5,-0.494,0.025
-0.07223,0.00060013,0,0.019621,1,0.007,0.5,-0.493,0.025
-0.081699,0.00073587,0,0.019621,1,0.008,0.5,-0.492,0.025
-0.09079,0.00087395,0,0.019616,1,0.009,0.5,-0.491,0.025
-0.099767,0.0010127,0,0.019611,1,0.01,0.5,-0.49,0.025
-0.10844,0.0011456,0,0.019603,1,0.011,0.5,-0.489,0.025
-0.11692,0.0012748,0,0.019593,1,0.012,0.5,-0.488,0.025
-0.12518,0.0013951,0,0.01958,1,0.013,0.5,-0.487,0.025
-0.13318,0.0015045,0,0.019564,1,0.014,0.5,-0.486,0.025
-0.14107,0.0016071,0,0.019546,1,0.015,0.5,-0.485,0.025
-0.1486,0.0016884,0,0.019523,1,0.016,0.5,-0.484,0.025
-0.15612,0.0017697,0,0.0195,1,0.017,0.5,-0.483,0.025
-0.16321,0.001818,0,0.019469,1,0.018,0.5,-0.482,0.025
-0.1703,0.0018658,0,0.019439,1,0.019,0.5,-0.481,0.025
-0.17709,0.0018884,0,0.019402,1,0.02,0.5,-0.48,0.025
-0.18377,0.0019003,0,0.019363,1,0.021,0.5,-0.479,0.025
-0.19031,0.0018985,0,0.01932,1,0.022,0.5,-0.478,0.025
-0.19661,0.0018743,0,0.019272,1,0.023,0.5,-0.477,0.025
-0.20291,0.0018496,0,0.019223,1,0.024,0.5,-0.476,0.025
-0.2089,0.0017916,0,0.019164,1,0.025,0.5,-0.475,0.025
-0.21488,0.0017336,0,0.019105,1,0.026,0.5,-0.474,0.025
-0.22069,0.0016573,0,0.019039,1,0.027,0.5,-0.473,0.025
-0.2264,0.0015696,0,0.018969,1,0.028,0.5,-0.472,0.025
-0.23207,0.0014776,0,0.018896,1,0.029,0.5,-0.471,0.025
-0.23754,0.0013654,0,0.018814,1,0.03,0.5,-0.47,0.025
-0.24301,0.0012533,0,0.018732,1,0.031,0.5,-0.469,0.025
-0.24835,0.0011284,0,0.01864,1,0.032,0.5,-0.468,0.025
-0.25363,0.00099779,0,0.018545,1,0.033,0.5,-0.467,0.025
-0.25887,0.00086507,0,0.018447,1,0.034,0.5,-0.466,0.025
-0.26398,0.00072216,0,0.018338,1,0.035,0.5,-0.465,0.025
-0.2691,0.00057924,0,0.018228,1,0.036,0.5,-0.464,0.025
-0.27412,0.00043234,0,0.01811,1,0.037,0.5,-0.463,0.025
-0.27908,0.00028289,0,0.017985,1,0.038,0.5,-0.462,0.025
-0.28405,0.00013343,0,0.017861,1,0.039,0.5,-0.461,0.025
-0.28888,-1.7418e-05,0,0.017721,1,0.04,0.5,-0.46,0.025
-0.29371,-0.00016827,0,0.017581,1,0.041,0.5,-0.459,0.025
-0.29849,-0.00031808,0,0.017434,1,0.042,0.5,-0.458,0.025
-0.30319,-0.00046607,0,0.017278,1,0.043,0.5,-0.457,0.025
-0.30789,-0.00061405,0,0.017121,1,0.044,0.5,-0.456,0.025
-0.31249,-0.00075787,0,0.016952,1,0.045,0.5,-0.455,0.025
-0.31705,-0.00089965,0,0.016778,1,0.046,0.5,-0.454,0.025
-0.32161,-0.0010414,0,0.016604,1,0.047,0.5,-0.453,0.025
-0.32602,-0.0011751,0,0.016412,1,0.048,0.5,-0.452,0.025
-0.33042,-0.0013083,0,0.016219,1,0.049,0.5,-0.451,0.025
-0.33479,-0.0014398,0,0.016024,1,0.05,0.5,-0.45,0.025
