"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.00048834,1,0,0,0,0.025
4.9837e-06,0.0061297,0,0.00049021,1,0.001,0.001,0,0.025
9.9675e-06,0.012259,0,0.00049209,1,0.002,0.002,0,0.025
1.9972e-05,0.018171,0,0.00049518,1,0.003,0.003,0,0.025
3.0015e-05,0.024082,0,0.00049828,1,0.004,0.004,0,0.025
4.4962e-05,0.029807,0,0.00050013,1,0.005,0.005,0,0.025
6.0157e-05,0.035523,0,0.00050191,1,0.006,0.006,0,0.025
7.7778e-05,0.041068,0,0.00050255,1,0.007,0.007,0,0.025
9.5736e-05,0.046588,0,0.00050304,1,0.008,0.008,0,0.025
0.00011416,0.051958,0,0.00050258,1,0.009,0.009,0,0.025
0.00013273,0.057284,0,0.00050185,1,0.01,0.01,0,0.025
0.00015046,0.062486,0,0.00050029,1,0.011,0.011,0,0.025
0.0001677,0.067615,0,0.00049825,1,0.012,0.012,0,0.025
0.00018347,0.072656,0,0.00049556,1,0.013,0.013,0,0.025
0.00019745,0.077589,0,0.00049208,1,0.014,0.014,0,0.025
0.00021022,0.082475,0,0.00048823,1,0.015,0.015,0,0.025
0.00021908,0.087212,0,0.00048317,1,0.016,0.016,0,0.025
0.00022793,0.091949,0,0.00047812,1,0.017,0.017,0,0.025
0.00022993,0.096492,0,0.00047135,1,0.018,0.018,0,0.025
0.00023184,0.10103,0,0.00046457,1,0.019,0.019,0,0.025
0.00022768,0.10544,0,0.00045647,1,0.02,0.02,0,0.025
0.00022092,0.10978,0,0.0004478,1,0.021,0.021,0,0.025
0.00021029,0.11406,0,0.00043836,1,0.022,0.022,0,0.025
0.00019326,0.11821,0,0.00042764,1,0.023,0.023,0,0.025
0.00017605,0.12236,0,0.00041688,1,0.024,0.024,0,0.025
0.00014727,0.12632,0,0.00040393,1,0.025,0.025,0,0.025
0.00011848,0.13029,0,0.00039099,1,0.026,0.026,0,0.025
8.1654e-05,0.13413,0,0.00037656,1,0.027,0.027,0,0.025
3.978e-05,0.1379,0,0.0003612,1,0.028,0.028,0,0.025
-4.5719e-06,0.14165,0,0.0003454,1,0.029,0.029,0,0.025
-6.0694e-05,0.14523,0,0.00032745,1,0.03,0.03,0,0.025
-0.00011682,0.14882,0,0.0003095,1,0.031,0.031,0,0.025
-0.00018351,0.15229,0,0.00028962,1,0.032,0.032,0,0.025
-0.00025486,0.15569,0,0.0002689,1,0.033,0.033,0,0.025
-0.00032899,0.15907,0,0.00024766,1,0.034,0.034,0,0.025
-0.00041638,0.1623,0,0.00022396,1,0.035,0.035,0,0.025
-0.00050376,0.16554,0,0.00020027,1,0.036,0.036,0,0.025
-0.0006013,0.16867,0,0.00017464,1,0.037,0.037,0,0.025
-0.0007053,0.17173,0,0.00014779,1,0.038,0.038,0,0.025
-0.00080943,0.17479,0,0.00012092,1,0.039,0.039,0,0.025
-0.00093044,0.17769,0,9.0723e-05,1,0.04,0.04,0,0.025
-0.0010515,0.18059,0,6.0528e-05,1,0.041,0.041,0,0.025
-0.0011787,0.18343,0,2.9061e-05,1,0.042,0.042,0,0.025
-0.0013169,0.18617,0,-4.6656e-06,1,0.043,0.043,0,0.025
-0.0014551,0.18892,0,-3.8392e-05,1,0.044,0.044,0,0.025
-0.0016048,0.19156,0,-7.461e-05,1,0.045,0.045,0,0.025
-0.0017602,0.19416,0,-0.00011205,1,0.046,0.046,0,0.025
-0.0019156,0.19675,0,-0.0001495,1,0.047,0.047,0,0.025
-0.0020869,0.19922,0,-0.00019059,1,0.048,0.048,0,0.025
-0.0022592,0.20167,0,-0.00023194,1,0.049,0.049,0,0.025
-0.0024342,0.2041,0,-0.00027393,1,0.05,0.05,0,0.025
-0.0026231,0.20643,0,-0.00031936,1,0.051,0.051,0,0.025
-0.002812,0.20875,0,-0.00036479,1,0.052,0.052,0,0.025
-0.0030062,0.21104,0,-0.00041164,1,0.053,0.053,0,0.025
-0.0032111,0.21324,0,-0.00046134,1,0.054,0.054,0,0.025
-0.0034159,0.21544,0,-0.00051105,1,0.055,0.055,0,0.025
-0.0036278,0.21759,0,-0.0005628,1,0.056,0.056,0,0.025
-0.0038479,0.21968,0,-0.00061696,1,0.057,0.057,0,0.025
-0.004068,0.22177,0,-0.00067111,1,0.058,0.058,0,0.025
-0.0042959,0.2238,0,-0.00072779,1,0.059,0.059,0,0.025
