"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.21873,0.027431,0,-0.019389,1,0.533,0.533,0,0.025
-0.21907,0.026428,0,-0.019383,1,0.534,0.534,0,0.025
-0.21941,0.025424,0,-0.019376,1,0.535,0.535,0,0.025
-0.21974,0.024421,0,-0.01937,1,0.536,0.536,0,0.025
-0.22008,0.023417,0,-0.019363,1,0.537,0.537,0,0.025
-0.22042,0.022414,0,-0.019356,1,0.538,0.538,0,0.025
-0.22075,0.021411,0,-0.01935,1,0.539,0.539,0,0.025
-0.22107,0.020381,0,-0.019337,1,0.54,0.54,0,0.025
-0.22139,0.019345,0,-0.019323,1,0.541,0.541,0,0.025
-0.22171,0.018309,0,-0.019309,1,0.542,0.542,0,0.025
-0.22203,0.017274,0,-0.019295,1,0.543,0.543,0,0.025
-0.22235,0.016238,0,-0.019281,1,0.544,0.544,0,0.025
-0.22267,0.015202,0,-0.019267,1,0.545,0.545,0,0.025
-0.22298,0.014166,0,-0.019253,1,0.546,0.546,0,0.025
-0.2233,0.013131,0,-0.019238,1,0.547,0.547,0,0.025
-0.22362,0.012095,0,-0.019224,1,0.548,0.548,0,0.025
-0.22393,0.011047,0,-0.019207,1,0.549,0.549,0,0.025
-0.22423,0.0099804,0,-0.019185,1,0.55,0.55,0,0.025
-0.22453,0.008914,0,-0.019164,1,0.551,0.551,0,0.025
-0.22483,0.0078477,0,-0.019142,1,0.552,0.552,0,0.025
-0.22513,0.0067813,0,-0.01912,1,0.553,0.553,0,0.025
-0.22543,0.0057149,0,-0.019098,1,0.554,0.554,0,0.025
-0.22573,0.0046485,0,-0.019077,1,0.555,0.555,0,0.025
-0.22603,0.0035822,0,-0.019055,1,0.556,0.556,0,0.025
-0.22633,0.0025158,0,-0.019033,1,0.557,0.557,0,0.025
-0.22663,0.0014452,0,-0.01901,1,0.558,0.558,0,0.025
-0.2269,0.00035009,0,-0.01898,1,0.559,0.559,0,0.025
-0.22718,-0.00074497,0,-0.018951,1,0.56,0.56,0,0.025
-0.22746,-0.00184,0,-0.018921,1,0.561,0.561,0,0.025
