"U:0","U:1","U:2","p","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
1.0401,1.397e-21,0.0092402,-0.035877,0,6.4757e-17,-0.22114,-1.7037e-14,0,-8.6595e-17,6.5199e-21,1,-8.212e-19,0.03,0,0.072
1.0404,-2.8603e-22,0.0085517,-0.036234,0.0012681,-1.4788e-16,-0.21854,-2.0402e-14,-2.5499e-19,-3.1557e-16,4.4241e-21,1,-5.6622e-19,0.031319,6.6415e-25,0.072011
1.0407,-9.6026e-22,0.0078542,-0.036562,0.0025311,-1.9166e-16,-0.21641,1.7814e-14,-4.9042e-19,-5.7224e-17,2.8189e-21,1,-3.3079e-19,0.032633,-1.8948e-25,0.072022
1.041,-2.6975e-22,0.0071467,-0.036852,0.0037891,-3.918e-17,-0.22249,1.1336e-14,-5.0211e-19,3.8641e-17,-7.7074e-21,1,1.176e-18,0.033942,-9.7356e-25,0.072031
1.0412,-2.1053e-22,0.0065337,-0.03708,0.0050468,5.7235e-17,-0.31768,-1.4224e-14,-4.9794e-19,-3.2021e-17,-3.1602e-21,1,5.2802e-19,0.035251,-1.1852e-24,0.07204
1.0415,7.5694e-25,0.0057108,-0.037351,0.0062995,-3.5456e-16,-0.21625,-2.1484e-14,-8.1385e-19,-4.7235e-16,8.2792e-11,1,-1.4901e-08,0.036556,-1.3703e-24,0.072047
1.0417,5.1943e-23,0.0051248,-0.037515,0.0073095,5.4564e-16,-0.21276,1.9488e-14,-7.2842e-19,6.4151e-16,1.0365e-10,1,-2.1073e-08,0.037608,-1.3487e-24,0.072053
1.0418,1.75e-23,0.004535,-0.03766,0.0083194,-2.4787e-16,-0.2158,1.0829e-14,-5.0583e-19,-2.0072e-16,9.1702e-11,1,-2.1073e-08,0.03866,-1.3391e-24,0.072058
1.0419,-1.5219e-23,0.0039425,-0.037785,0.0093294,-4.4774e-16,-0.21359,-2.8151e-14,-8.8708e-19,-5.5425e-16,7.9755e-11,1,-2.1073e-08,0.039712,-1.3256e-24,0.072062
1.042,-6.452e-23,0.0033477,-0.03789,0.010339,-4.4923e-16,-0.21693,2.1393e-15,-1.3903e-18,-4.4235e-16,6.7735e-11,1,-2.1073e-08,0.040764,-1.3707e-24,0.072066
1.0421,-9.81e-23,0.0027514,-0.037976,0.011349,7.8427e-17,-0.22057,2.3974e-15,-1.5709e-18,8.4757e-17,5.5646e-11,1,-2.1073e-08,0.041817,-1.415e-24,0.072069
1.0422,-4.584e-23,0.0021543,-0.038042,0.012359,-3.1042e-16,-0.22013,-1.1249e-15,-1.686e-18,-3.1275e-16,4.3559e-11,1,-2.1073e-08,0.042869,-1.4702e-24,0.072071
1.0422,-1.9479e-22,0.001557,-0.038089,0.013369,-1.5125e-16,-0.21469,-1.9823e-15,-1.9219e-18,-1.5421e-16,3.1473e-11,1,-2.1073e-08,0.043922,-1.6087e-24,0.072073
1.0423,-7.6164e-24,0.00096006,-0.038116,0.014379,-1.0622e-16,-0.218,-1.6918e-14,-2.0612e-18,-1.218e-16,1.9389e-11,1,-2.1073e-08,0.044974,-1.6567e-24,0.072074
1.0423,-2.2967e-22,0.00036416,-0.038124,0.015389,1.2068e-16,-0.2168,-5.702e-15,-2.0628e-18,1.1868e-16,7.3824e-12,1,-2.1073e-08,0.046027,-1.7785e-24,0.072075
1.0422,1.2917e-23,-0.00023008,-0.038113,0.0164,-4.3021e-16,-0.21689,1.6724e-14,-2.222e-18,-4.339e-16,-5.6612e-12,1,-2.581e-08,0.04708,-1.9157e-24,0.072075
1.0422,4.5746e-22,-0.00082204,-0.038083,0.01741,-2.1224e-16,-0.21493,-8.3789e-16,-2.5481e-18,-2.1158e-16,-2.3512e-11,1,-2.9802e-08,0.048133,-1.8713e-24,0.072075
1.0422,5.3321e-22,-0.0014113,-0.038034,0.01842,-6.1913e-16,-0.2227,-1.0929e-14,-2.9603e-18,-6.0433e-16,-4.0378e-11,1,-2.9802e-08,0.049186,-1.3632e-24,0.072073
1.0421,-9.1623e-23,-0.0019969,-0.037967,0.019431,-2.6884e-16,-0.21613,2.5622e-15,-3.4039e-18,-2.7375e-16,-5.7031e-11,1,-2.9802e-08,0.050239,-1.2019e-24,0.072072
1.042,-2.402e-22,-0.0025787,-0.037881,0.020441,6.4824e-16,-0.22161,-7.958e-15,-3.2048e-18,6.6793e-16,-7.3784e-11,1,-2.9802e-08,0.051292,-1.4833e-24,0.072069
1.0419,5.7688e-23,-0.0031561,-0.037778,0.021452,1.044e-15,-0.21977,-1.4157e-15,-2.3373e-18,1.0483e-15,-9.0324e-11,1,-2.9802e-08,0.052346,-1.5624e-24,0.072067
1.0418,-3.9516e-23,-0.0037283,-0.037657,0.022463,6.3333e-16,-0.22208,1.2276e-14,-1.5095e-18,5.8939e-16,-1.0655e-10,1,-2.9802e-08,0.053399,-1.5339e-24,0.072063
1.0417,-8.7435e-23,-0.0042951,-0.037519,0.023474,-2.4482e-16,-0.21835,-3.9456e-16,-1.3344e-18,-2.4319e-16,-1.2288e-10,1,-2.9802e-08,0.054453,-1.6029e-24,0.072059
1.0415,4.4262e-22,-0.0048559,-0.037363,0.024486,-8.8186e-16,-0.22483,-2.6121e-14,-1.8418e-18,-7.6007e-16,-1.3899e-10,1,-2.9802e-08,0.055506,-1.3916e-24,0.072054
1.0413,3.06e-22,-0.00541,-0.037191,0.025498,-2.0239e-16,-0.22588,-6.6674e-15,-2.3111e-18,-1.6775e-16,-1.5478e-10,1,-2.9802e-08,0.05656,-1.1204e-24,0.072049
1.0412,-5.0573e-23,-0.0059575,-0.037002,0.026509,-8.0345e-16,-0.2159,1.7913e-14,-2.8543e-18,-9.0593e-16,-1.7047e-10,1,-2.9802e-08,0.057614,-9.4158e-25,0.072043
1.041,6.8287e-22,-0.0064974,-0.036797,0.027522,2.6846e-16,-0.21814,-2.1185e-15,-3.1702e-18,2.8167e-16,-1.8594e-10,1,-2.9802e-08,0.058667,-5.4159e-25,0.072037
1.0407,-1.2749e-22,-0.0070295,-0.036577,0.028534,2.9939e-16,-0.21267,8.9483e-15,-2.9067e-18,2.3894e-16,-2.012e-10,1,-2.9802e-08,0.059721,-2.2776e-25,0.07203
1.0405,-1.8232e-22,-0.0075535,-0.036341,0.029547,1.0608e-15,-0.21716,1.211e-15,-2.2531e-18,1.052e-15,-2.1636e-10,1,-2.9802e-08,0.060775,-3.9633e-25,0.072023
1.0403,-1.3347e-22,-0.0080687,-0.03609,0.03056,-1.0083e-16,-0.21711,-1.0121e-14,-1.7316e-18,-2.2329e-17,-2.3119e-10,1,-2.9801e-08,0.061829,-3.7295e-25,0.072015
1.04,1.5991e-22,-0.008575,-0.035825,0.031573,7.3945e-16,-0.21572,-2.2488e-15,-1.3589e-18,7.5796e-16,-2.456e-10,1,-2.9801e-08,0.062883,-2.8595e-25,0.072007
1.0397,4.6744e-22,-0.009072,-0.035545,0.032586,-1.341e-16,-0.22515,4.5156e-15,-1.0627e-18,-1.7349e-16,-2.599e-10,1,-2.9801e-08,0.063937,-5.7056e-26,0.071998
1.0395,4.0749e-22,-0.009559,-0.035252,0.0336,8.7789e-16,-0.22078,1.5968e-14,-7.8e-19,7.3101e-16,-2.74e-10,1,-2.9801e-08,0.064992,1.4104e-25,0.071988
1.0392,-3.6862e-22,-0.010036,-0.034945,0.034615,-8.1361e-16,-0.21673,-1.8098e-14,-7.3323e-19,-6.3879e-16,-2.8778e-10,1,-2.9801e-08,0.066046,3.9934e-25,0.071978
1.0388,3.7128e-22,-0.010503,-0.034625,0.035629,-1.4248e-15,-0.22209,-2.9157e-14,-1.6306e-18,-1.1299e-15,-3.3678e-10,1,-3.3318e-08,0.0671,5.9021e-25,0.071968
1.0385,-1.4735e-22,-0.010959,-0.034292,0.036644,1.778e-16,-0.21861,8.2508e-15,-2.158e-18,9.0727e-17,-3.8514e-10,1,-3.6498e-08,0.068155,3.2314e-25,0.071957
