"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,0,0,0.035,-0.001,-0.15
0.99986,-2.9961e-22,0.00078584,-0.020816,1,0.00030105,0.034975,-0.000998,-0.1497
1.0004,-3.0445e-22,0.00011357,-0.021446,1,0.00060209,0.03495,-0.000996,-0.1494
1.0012,2.1961e-22,-9.7517e-06,-0.022067,1,0.00090314,0.034925,-0.000994,-0.1491
1.001,-1.8329e-22,-0.00011898,-0.021749,1,0.0012042,0.0349,-0.000992,-0.1488
1.0006,-5.6024e-22,-0.00018623,-0.021211,1,0.0015052,0.034875,-0.00099,-0.1485
1.0002,2.302e-22,-0.00017171,-0.020698,1,0.0018063,0.03485,-0.000988,-0.1482
1.0002,7.0496e-22,-0.00014075,-0.020513,1,0.0021073,0.034825,-0.000986,-0.1479
1.0004,9.527e-22,-0.00011427,-0.02054,1,0.0024084,0.0348,-0.000984,-0.1476
1.0011,-2.7968e-22,-0.00014115,-0.021065,1,0.0027094,0.034775,-0.000982,-0.1473
1.0019,-7.3758e-22,-0.00017919,-0.021589,1,0.0030105,0.03475,-0.00098,-0.147
1.0026,-1.6623e-22,-0.00020448,-0.022113,1,0.0033115,0.034725,-0.000978,-0.1467
1.0024,-2.7721e-22,-0.00016417,-0.021781,1,0.0036126,0.0347,-0.000976,-0.1464
1.002,-2.7743e-22,-0.00014024,-0.021315,1,0.0039136,0.034675,-0.000974,-0.1461
1.0016,3.8238e-22,-0.00024285,-0.020845,1,0.0042146,0.03465,-0.000972,-0.1458
1.0019,6.7792e-22,-0.00032679,-0.020995,1,0.0045157,0.034625,-0.00097,-0.1455
1.0025,7.2883e-22,-0.00038215,-0.021382,1,0.0048168,0.0346,-0.000968,-0.1452
1.0027,-9.176e-23,-0.00021814,-0.021402,1,0.0051178,0.034575,-0.000966,-0.1449
1.0026,-3.0818e-22,-0.00016535,-0.021224,1,0.0054188,0.03455,-0.000964,-0.1446
1.0023,9.1641e-23,-0.00024238,-0.020861,1,0.0057199,0.034525,-0.000962,-0.1443
1.0029,-3.2574e-22,-0.00042263,-0.021265,1,0.0060209,0.0345,-0.00096,-0.144
1.0036,-5.0798e-22,-0.00050771,-0.021729,1,0.006322,0.034475,-0.000958,-0.1437
1.0042,-2.5865e-23,-0.00033709,-0.022189,1,0.006623,0.03445,-0.000956,-0.1434
1.0042,4.6146e-23,-0.00022428,-0.022046,1,0.0069241,0.034425,-0.000954,-0.1431
1.004,-1.2296e-22,-0.00017925,-0.021762,1,0.0072251,0.0344,-0.000952,-0.1428
1.0041,-9.0661e-22,-0.00042875,-0.021769,1,0.0075262,0.034375,-0.00095,-0.1425
1.0045,-8.4019e-22,-0.00049828,-0.021972,1,0.0078272,0.03435,-0.000948,-0.1422
1.0051,-1.0392e-22,-0.00041102,-0.022313,1,0.0081283,0.034325,-0.000946,-0.1419
1.0048,1.7492e-22,-0.0001399,-0.021952,1,0.0084293,0.0343,-0.000944,-0.1416
1.0044,4.242e-22,-5.8197e-05,-0.021594,1,0.0087303,0.034275,-0.000942,-0.1413
1.0042,6.1636e-22,-0.00031677,-0.021256,1,0.0090314,0.03425,-0.00094,-0.141
1.0046,5.5003e-22,-0.00060018,-0.021496,1,0.0093324,0.034225,-0.000938,-0.1407
1.0051,2.2815e-22,-0.00081489,-0.021866,1,0.0096335,0.0342,-0.000936,-0.1404
1.0057,-7.2631e-22,-0.00070083,-0.02223,1,0.0099345,0.034175,-0.000934,-0.1401
1.006,-6.8821e-22,-0.00049782,-0.022363,1,0.010236,0.03415,-0.000932,-0.1398
1.0061,-2.8547e-23,-0.00023967,-0.022353,1,0.010537,0.034125,-0.00093,-0.1395
1.0058,1.0264e-21,-0.00021691,-0.022061,1,0.010838,0.0341,-0.000928,-0.1392
1.0058,1.1941e-21,-0.00034203,-0.021903,1,0.011139,0.034075,-0.000926,-0.1389
1.0059,2.729e-22,-0.00066044,-0.021898,1,0.01144,0.03405,-0.000924,-0.1386
1.0063,-4.8593e-22,-0.00053781,-0.02212,1,0.011741,0.034025,-0.000922,-0.1383
1.0066,-9.8039e-22,-0.00033445,-0.022233,1,0.012042,0.034,-0.00092,-0.138
1.0064,-8.158e-22,-0.00011988,-0.022004,1,0.012343,0.033975,-0.000918,-0.1377
1.0064,-4.2458e-22,-0.00033111,-0.021935,1,0.012644,0.03395,-0.000916,-0.1374
1.0065,-3.1837e-23,-0.00069364,-0.021956,1,0.012945,0.033925,-0.000914,-0.1371
1.007,-7.6543e-22,-0.00051578,-0.022153,1,0.013246,0.0339,-0.000912,-0.1368
1.0071,-1.0503e-21,-0.00021283,-0.022122,1,0.013547,0.033875,-0.00091,-0.1365
1.0069,-8.9172e-22,0.00021523,-0.021893,1,0.013848,0.03385,-0.000908,-0.1362
1.0067,8.8922e-22,-0.00017214,-0.02168,1,0.014149,0.033825,-0.000906,-0.1359
1.0067,1.6855e-21,-0.00056631,-0.021605,1,0.01445,0.0338,-0.000904,-0.1356
1.0071,1.8613e-22,-0.00081526,-0.021772,1,0.014751,0.033775,-0.000902,-0.1353
1.0073,-5.5761e-22,-0.0005582,-0.021819,1,0.015052,0.03375,-0.0009,-0.135
1.0074,-7.4833e-22,-0.00022761,-0.021808,1,0.015353,0.033725,-0.000898,-0.1347
1.0073,6.8152e-22,-0.00049,-0.021691,1,0.015654,0.0337,-0.000896,-0.1344
1.0075,8.4033e-22,-0.00088279,-0.021759,1,0.015955,0.033675,-0.000894,-0.1341
1.0079,2.7317e-23,-0.0013811,-0.021947,1,0.016257,0.03365,-0.000892,-0.1338
1.0083,-1.1046e-21,-0.000927,-0.022117,1,0.016558,0.033625,-0.00089,-0.1335
1.0084,-1.3034e-21,-0.00045234,-0.022161,1,0.016859,0.0336,-0.000888,-0.1332
1.0083,-2.45e-23,1.8903e-05,-0.022037,1,0.01716,0.033575,-0.000886,-0.1329
1.0082,4.9326e-22,-0.00031652,-0.021922,1,0.017461,0.03355,-0.000884,-0.1326
1.0082,7.1331e-22,-0.0007934,-0.021862,1,0.017762,0.033525,-0.000882,-0.1323
1.0086,4.7931e-22,-0.0010405,-0.021954,1,0.018063,0.0335,-0.00088,-0.132
1.0088,3.4026e-22,-0.00081506,-0.021994,1,0.018364,0.033475,-0.000878,-0.1317
1.0089,2.0075e-22,-0.00033679,-0.022008,1,0.018665,0.03345,-0.000876,-0.1314
1.0088,-1.2137e-21,-0.00065252,-0.021976,1,0.018966,0.033425,-0.000874,-0.1311
1.009,-1.5987e-21,-0.0010821,-0.02202,1,0.019267,0.0334,-0.000872,-0.1308
1.0093,-7.4011e-22,-0.0016495,-0.02213,1,0.019568,0.033375,-0.00087,-0.1305
1.0096,4.4405e-22,-0.0012514,-0.022225,1,0.019869,0.03335,-0.000868,-0.1302
1.0098,1.3361e-21,-0.00069333,-0.022269,1,0.02017,0.033325,-0.000866,-0.1299
1.0098,1.2649e-21,-0.00013018,-0.022221,1,0.020471,0.0333,-0.000864,-0.1296
1.0097,4.5384e-22,-0.00036348,-0.022185,1,0.020772,0.033275,-0.000862,-0.1293
1.0097,-4.8386e-22,-0.0009684,-0.022172,1,0.021073,0.03325,-0.00086,-0.129
1.01,4.1849e-22,-0.0015701,-0.02224,1,0.021374,0.033225,-0.000858,-0.1287
1.0103,3.0892e-22,-0.0015472,-0.022301,1,0.021675,0.0332,-0.000856,-0.1284
1.0106,-6.8317e-22,-0.00096582,-0.022362,1,0.021976,0.033175,-0.000854,-0.1281
1.0106,-1.1133e-21,-0.00045319,-0.022363,1,0.022277,0.03315,-0.000852,-0.1278
1.0106,-1.0359e-21,-0.00032023,-0.022356,1,0.022578,0.033125,-0.00085,-0.1275
1.0106,-6.5536e-23,-0.0008971,-0.022344,1,0.02288,0.0331,-0.000848,-0.1272
1.0108,1.5607e-22,-0.0012122,-0.02235,1,0.023181,0.033075,-0.000846,-0.1269
1.011,2.983e-22,-0.0013348,-0.022364,1,0.023482,0.03305,-0.000844,-0.1266
1.0112,1.5957e-21,-0.00090567,-0.022397,1,0.023783,0.033025,-0.000842,-0.1263
1.0112,1.3968e-21,-0.0008883,-0.022432,1,0.024084,0.033,-0.00084,-0.126
1.0113,6.5215e-23,-0.001176,-0.022468,1,0.024385,0.032975,-0.000838,-0.1257
1.0115,-8.193e-22,-0.0013551,-0.02249,1,0.024686,0.03295,-0.000836,-0.1254
1.0117,-1.0303e-21,-0.0013851,-0.022521,1,0.024987,0.032925,-0.000834,-0.1251
1.0118,-2.5016e-22,-0.0011898,-0.022567,1,0.025288,0.0329,-0.000832,-0.1248
1.0119,-7.8549e-22,-0.0013495,-0.022613,1,0.025589,0.032875,-0.00083,-0.1245
1.0121,-1.2484e-21,-0.0015039,-0.022653,1,0.02589,0.03285,-0.000828,-0.1242
1.0123,1.8435e-22,-0.001295,-0.022671,1,0.026191,0.032825,-0.000826,-0.1239
1.0124,7.7234e-22,-0.00099603,-0.022685,1,0.026492,0.0328,-0.000824,-0.1236
1.0125,8.0138e-22,-0.00066064,-0.022699,1,0.026793,0.032775,-0.000822,-0.1233
1.0125,-8.4137e-22,-0.0010792,-0.022712,1,0.027094,0.03275,-0.00082,-0.123
1.0126,-1.1164e-21,-0.0014017,-0.02273,1,0.027395,0.032725,-0.000818,-0.1227
1.0129,4.0212e-22,-0.0016067,-0.022752,1,0.027696,0.0327,-0.000816,-0.1224
1.013,7.257e-22,-0.0015058,-0.022794,1,0.027997,0.032675,-0.000814,-0.1221
1.0131,7.0809e-22,-0.0013877,-0.022835,1,0.028298,0.03265,-0.000812,-0.1218
1.0133,4.6511e-22,-0.00138,-0.022864,1,0.028599,0.032625,-0.00081,-0.1215
1.0134,-1.9707e-22,-0.0013914,-0.022893,1,0.0289,0.0326,-0.000808,-0.1212
1.0135,-1.0763e-21,-0.0014228,-0.022921,1,0.029202,0.032575,-0.000806,-0.1209
1.0136,-7.6402e-22,-0.0015988,-0.022961,1,0.029503,0.03255,-0.000804,-0.1206
1.0138,-2.324e-22,-0.0016384,-0.022992,1,0.029804,0.032525,-0.000802,-0.1203
1.014,5.8871e-22,-0.0015372,-0.023015,1,0.030105,0.0325,-0.0008,-0.12
1.0141,8.9006e-23,-0.0013917,-0.023053,1,0.030406,0.032475,-0.000798,-0.1197
1.0142,-5.4656e-22,-0.0013658,-0.023091,1,0.030707,0.03245,-0.000796,-0.1194
1.0143,-9.7003e-22,-0.0016177,-0.023126,1,0.031008,0.032425,-0.000794,-0.1191
1.0144,-1.3392e-23,-0.0016769,-0.023149,1,0.031309,0.0324,-0.000792,-0.1188
1.0146,1.3629e-21,-0.00165,-0.02317,1,0.03161,0.032375,-0.00079,-0.1185
1.0147,6.4237e-22,-0.0015472,-0.023206,1,0.031911,0.03235,-0.000788,-0.1182
1.0148,2.162e-22,-0.0015491,-0.023239,1,0.032212,0.032325,-0.000786,-0.1179
1.015,1.0631e-22,-0.0016382,-0.023269,1,0.032513,0.0323,-0.000784,-0.1176
1.0151,2.8788e-22,-0.001685,-0.023303,1,0.032814,0.032275,-0.000782,-0.1173
1.0152,4.9947e-22,-0.0017497,-0.023339,1,0.033115,0.03225,-0.00078,-0.117
1.0154,5.5947e-22,-0.0018507,-0.023378,1,0.033416,0.032225,-0.000778,-0.1167
1.0155,5.7874e-22,-0.0018318,-0.023406,1,0.033717,0.0322,-0.000776,-0.1164
1.0157,2.9178e-22,-0.0017709,-0.023433,1,0.034018,0.032175,-0.000774,-0.1161
1.0158,-1.4444e-21,-0.0016782,-0.023476,1,0.034319,0.03215,-0.000772,-0.1158
1.0159,-1.6032e-21,-0.0017325,-0.023519,1,0.03462,0.032125,-0.00077,-0.1155
1.016,-4.959e-22,-0.0018819,-0.023563,1,0.034921,0.0321,-0.000768,-0.1152
1.0162,1.8e-22,-0.0019534,-0.023587,1,0.035222,0.032075,-0.000766,-0.1149
1.0163,5.4292e-22,-0.0019847,-0.023617,1,0.035523,0.03205,-0.000764,-0.1146
1.0164,4.1673e-22,-0.0019645,-0.023656,1,0.035825,0.032025,-0.000762,-0.1143
1.0166,-8.072e-23,-0.0019832,-0.023695,1,0.036126,0.032,-0.00076,-0.114
1.0167,-6.3553e-22,-0.0020107,-0.023735,1,0.036427,0.031975,-0.000758,-0.1137
1.0168,-9.285e-22,-0.0020435,-0.023775,1,0.036728,0.03195,-0.000756,-0.1134
1.017,-5.5205e-22,-0.0020928,-0.023815,1,0.037029,0.031925,-0.000754,-0.1131
1.0171,2.4589e-22,-0.0021449,-0.023855,1,0.03733,0.0319,-0.000752,-0.1128
