"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,0,0,0.03,0,-0.15
1.0001,4.428e-23,6.4771e-05,-0.021609,1,0.00030001,0.03,0,-0.1497
1.0003,1.1859e-22,0.0001661,-0.021567,1,0.0006,0.03,0,-0.1494
1.0005,1.2762e-22,4.0979e-05,-0.021522,1,0.0009,0.03,0,-0.1491
1.0007,-1.2662e-21,-8.5326e-05,-0.021511,1,0.0012,0.03,0,-0.1488
1.001,-4.3732e-21,-0.00021139,-0.021545,1,0.0015,0.03,0,-0.1485
1.0012,-4.8075e-22,-0.00019518,-0.021595,1,0.0018,0.03,0,-0.1482
1.0015,3.3765e-21,-0.00014776,-0.021633,1,0.0021,0.03,0,-0.1479
1.0016,4.1107e-21,-8.3022e-05,-0.021635,1,0.0024,0.03,0,-0.1476
1.0017,1.7436e-21,-2.8236e-05,-0.021597,1,0.0027,0.03,0,-0.1473
1.0018,-1.5832e-21,2.4557e-06,-0.021545,1,0.003,0.03,0,-0.147
1.0018,-1.1541e-21,-0.00012418,-0.021506,1,0.0033,0.03,0,-0.1467
1.002,-1.4511e-21,-0.00026233,-0.021506,1,0.0036,0.03,0,-0.1464
1.0022,-2.4207e-21,-0.00041117,-0.021544,1,0.0039,0.03,0,-0.1461
1.0025,-3.5693e-23,-0.00029381,-0.021584,1,0.0042,0.03,0,-0.1458
1.0026,1.6434e-21,-0.00018738,-0.021604,1,0.0045,0.03,0,-0.1455
1.0027,1.2693e-21,-0.00014454,-0.021585,1,0.0048,0.03,0,-0.1452
1.0028,-9.5261e-22,-0.00028789,-0.02158,1,0.0051,0.03,0,-0.1449
1.003,-2.8232e-21,-0.00045413,-0.021583,1,0.0054,0.03,0,-0.1446
1.0032,5.1022e-22,-0.00041692,-0.021605,1,0.0057,0.03,0,-0.1443
1.0033,8.6533e-22,-0.00032197,-0.021595,1,0.006,0.03,0,-0.144
