"U:0","U:1","U:2","p","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.19037,0,0.0033093,-0.01933,0.43143,-8.0434e-17,-24.834,1.7817e-14,-3.492e-16,2.2925e-16,-7.3347e-10,-1,4.214e-08,0.16066,-1.2273e-23,-0.0099894
0.19599,0,0.0031213,-0.018244,0.43855,-6.3674e-16,-24.54,1.373e-14,-3.4987e-16,-4.1802e-16,-6.7194e-10,-1,4.2141e-08,0.16202,-1.2273e-23,-0.0099668
0.20161,0,0.0029389,-0.017201,0.44548,-1.7242e-16,-24.244,3.2307e-15,-3.5175e-16,-1.2531e-16,-6.5224e-10,-1,4.4699e-08,0.16337,-1.2273e-23,-0.0099462
0.20722,0,0.0027609,-0.016213,0.45221,3.9099e-16,-23.951,-1.4529e-14,-3.5151e-16,1.9739e-16,-6.2845e-10,-1,4.7117e-08,0.16473,-1.2273e-23,-0.0099272
0.21282,0,0.0025882,-0.01527,0.45876,-7.404e-16,-23.653,1.8845e-14,-3.5254e-16,-5.1118e-16,-5.7371e-10,-1,4.7118e-08,0.16609,-1.2273e-23,-0.00991
0.21841,0,0.002421,-0.014367,0.46513,1.6889e-16,-23.355,-3.6144e-15,-3.5376e-16,1.2881e-16,-5.2292e-10,-1,4.7119e-08,0.16744,-1.2273e-23,-0.0098942
0.22399,0,0.0022591,-0.013503,0.47135,-8.279e-16,-23.057,-7.9291e-16,-3.5595e-16,-8.3585e-16,-4.7579e-10,-1,4.7119e-08,0.1688,-1.2273e-23,-0.0098798
0.22954,0,0.0021022,-0.012679,0.47741,-1.3154e-16,-22.761,8.1255e-15,-3.5866e-16,-5.712e-17,-4.3205e-10,-1,4.712e-08,0.17016,-1.2273e-23,-0.0098668
0.23504,0,0.0019501,-0.011903,0.48332,3.4752e-17,-22.464,-5.8122e-15,-3.5887e-16,-1.3469e-17,-3.9142e-10,-1,4.712e-08,0.17152,-1.2273e-23,-0.0098549
0.24053,0,0.0018031,-0.011161,0.48909,-5.6062e-16,-22.169,-3.2114e-15,-3.6059e-16,-5.8467e-16,-3.5367e-10,-1,4.712e-08,0.17287,-1.2273e-23,-0.0098442
0.24598,0,0.0016609,-0.010453,0.49473,-1.4302e-16,-21.874,-1.1942e-14,-3.6287e-16,-2.2365e-16,-3.1858e-10,-1,4.7121e-08,0.17423,-1.2273e-23,-0.0098346
0.2514,0,0.0015235,-0.0097765,0.50025,-1.3157e-15,-21.582,1.7079e-14,-3.6683e-16,-1.2122e-15,-2.8594e-10,-1,4.7121e-08,0.17559,-1.2273e-23,-0.0098259
0.25678,0,0.0013905,-0.0091421,0.50565,-1.7531e-15,-14.672,4.7535e-16,-3.7483e-16,-1.7505e-15,-2.5551e-10,-1,4.7121e-08,0.17694,-1.2273e-23,-0.0098181
0.26215,0,0.0012617,-0.0085392,0.51093,-4.5921e-17,-14.436,1.043e-15,-3.7956e-16,-4.0901e-17,-2.271e-10,-1,4.7121e-08,0.1783,-1.2273e-23,-0.0098112
0.26747,0,0.0011373,-0.0079649,0.51611,7.9227e-17,-14.202,1.0562e-14,-3.7935e-16,1.2414e-16,-2.0065e-10,-1,4.7121e-08,0.17966,-1.2273e-23,-0.009805
0.27274,0,0.0010173,-0.0074181,0.52119,-1.1516e-15,-13.971,-8.6406e-15,-3.8204e-16,-1.1839e-15,-1.7604e-10,-1,4.7121e-08,0.18102,-1.2273e-23,-0.0097996
0.27796,0,0.00090153,-0.0069023,0.52616,-4.2143e-17,-13.741,1.3112e-14,-3.8498e-16,3.8216e-19,-1.5312e-10,-1,4.7121e-08,0.18237,-1.2273e-23,-0.0097949
